Title,Author,Text,Resource,Label
"Capital of Ethiopia's Tigray region under control of Ethiopian forces, says PM after intense bombardment",[],"(CNN) Ethiopian National Defense Forces (ENDF) have taken control of Mekelle, the capital of the country's Tigray region, according to a tweet from Prime Minister Abiy Ahmed.

The city was under fierce bombardment earlier on Saturday, a humanitarian source on the ground and eyewitnesses who have fled the city told CNN.

The government's military operations have now ceased in the region, he said in a second tweet

Federal police will continue working to round up members of the Tigray People's Liberation Front (TPLF). Thousands of Northern Command officers held by the TPLF have now been released, according to Abiy.

The airport, public institutions, the regional administration office and other critical facilities are under control of the ENDF. The prime minister thanked the people of Tigray and emphasized that the next critical task is working to rebuild what has been destroyed.

Read More",CNN,1
"Bitcoin hits an all-time high of just under $20,000",[],"New York (CNN Business) Bitcoin just hit another milestone in its impressive 2020 run . The cryptocurrency surged 9% to a new all-time high of about $19,860 on Monday, topping the previous peak of $19,783 from December 2017.

It's been a wild year for bitcoin , which has soared more than 175% since the end of 2019. Prices plunged below $4,000 in March as markets around the globe plummeted due to the Covid-19 economic crisis.

But bitcoin has rallied sharply in the past few months as the dollar has weakened . Crucially, the cryptocurrency has also skyrocketed into the mainstream.

Payments giantsandboth now allow their customers to buy and sell bitcoin . Money management giant Fidelity is launching a bitcoin fund for wealthy investors.itcoin futures contracts are even trading on the Chicago Mercantile Exchange.

Prominent investment managers Paul Tudor Jones, Stanley Druckenmiller and Mike Novogratz are bullish on bitcoin as well.

In other words, the days of bitcoin being considered just a fringe investment are over. The cryptocurrency has gone legit.

""This rally is driven by smart and institutional money and not built solely on retail over-speculation,"" said Guy Hirsch, managing director for the US at eToro, brokerage and trading firm, in an e-mail to CNN Business. ""So many more individuals and asset managers are now buying in.""

The amount of bitcoin currently in circulation is now worth more than $365 billion.

BlackRock BLK Bitcoin also got a recent boost after a top strategist at, the world's largest asset management firm, suggested that bitcoin could one day replace gold as a safe-haven currency of choice.

The epic rise in bitcoin has also fueled even more dramatic spikes in smaller cryptocurrencies such as ethereum, XRP, litecoin and Stellar as of late. That may continue.

""Bitcoin hitting a new all-time high...will likely spur a tidal wave of retail investment that pushes bitcoin much higher in short order,"" said Denis Vinokourov, head of research at digital assets prime broker Bequant, in an e-mail to CNN Business.

""However, it is unlikely that this inflow will be limited to bitcoin only,"" he added. ""The ease of access to other assets is much more straightforward than what it was during the last bull run.""",CNN,1
Nikola shares fall after GM scraps Badger deal and drops equity stake,[],"(CNN) General Motors is giving up its equity stake in Nikola Motors and scrapping plans to build the electric truck maker's Badger pickup as part of a new, scaled-back deal between the companies.

Nikola shares plunged more than 20% on the news.

The new deal replaces an agreement announced in September in which GM had planned to take an 11% stake in Nikola and supply the startup with equipment for its highly anticipated hydrogen fuel cell trucksGM had also previously said it would build Nikola's planned pickup, the Badger.

But shortly after that deal was announced, a short seller released a report leveling allegations of fraud and exaggeration against the company and it's then-chairman Trevor Milton. Nikola disputed the report.

In the wake of the allegations, GM reminded investors that it had not yet closed the deal with Nikola. The new arrangement, announced Monday morning, is still just a memorandum of understanding, not a final deal. Under this deal, GM will simply be a supplier to Nikola.

Nikola executives have said the Badger pickup would be built only through an arrangement with an outside company. The company has now said it will refund deposits potential customers had placed for the truck.

""Nikola is focusing on its core business of producing commercial zero-emission trucks,"" a Nikola spokeswoman said in an email.

The two companies will also discuss Nikola possibly using GM's Ultium battery system, which will used in GM's future electric vehicles.

""This went from a game changer deal for Nikola to a good supply partnership but nothing to write home about,"" analysts Daniel Ives and Strecker Backe at Wedbush Securities wrote.",CNN,1
Manchester United's Edinson Cavani apologizes for social media post as FA investigates,[],"(CNN) Edinson Cavani is apologizing for language he used in a social media post after he scored two goals for Manchester United in its Premier League match against Southampton on Sunday.

The Uruguayan thanked a follower using the phrase ""gracias negrito,"" which translates to thank you, little Black one.

The phrase is seen as an affectionate term of endearment in South America but considered offensive in other parts of the world, because its meaning can be misconstrued.

Having come on as a substitute at halftime on Sunday with Manchester United 2-0 behind, Cavani had an instant impact, scoring twice and assisting the other goal to help his side to a dramatic victory.

""The message I posted after the match on Sunday was intended as an affectionate greeting to a friend, thanking him for his congratulations after the game,"" Cavani said in an apology on the Manchester United website. ""The last thing I wanted to do was cause offence to anyone. I am completely opposed to racism and deleted the message as soon as it was explained that it can be interpreted differently. I would like to sincerely apologise for this.""

Read More",CNN,1
Manchester United launches investigations following 'disruptive' cyber attack,[],"(CNN) Manchester United has launched investigations as the club continues to tackle a ""disruptive"" cyber attack.

According to PA Media, the attack has left the English Premier League club unable to fully restore its computer systems and, as of Thursday night, staff did not have access to their email accounts.

The UK's National Cyber Security Center (NCSC) is assisting United.

""We are aware of an incident affecting Manchester United Football Club and have been working with law enforcement partners in response,"" a NCSC spokesperson told CNN.

Read More",CNN,1
Senegal World Cup star Papa Bouba Diop dies aged 42,[],"(CNN) Former Premier League player and Senegal World Cup star Papa Bouba Diop has died aged 42, the Senegalese Football Federation (FSF) confirmed to CNN.

Diop made 63 appearances for his country with the highlight of his international career coming at the 2002 World Cup where he scored the first goal of the tournament as Senegal stunned reigning champion France 1-0.

He went on to score two more goals in the competition as Senegal reached the quarterfinals.

""Thanks to him and his 2002 generation, the whole world discovered Senegal, land of Terranga and Football,"" FSF President Augustin Senghor said in a statement . ""Rest in peace! Forever in our hearts!""

On Sunday, football's governing body FIFA said it was ""saddened"" to hear of Diop's passing.

Read More",CNN,1
,,,CNN,
When a specialist tells him his hearing loss will rapidly worsen, punk-metal drummer Ruben thinks his music career -- and with it his life -- is over. His bandmate and girlfriend Lou checks the recovering heroin addict into a secluded sober house for the deaf in hopes it will prevent a relapse. But after being welcomed into a community that accepts him just as he is," he has to choose between his equilibrium and the drive to reclaim the life he once knew.""",CNN,1
Jennifer Lawrence's family farm loses barn in fire,[],"(CNN) Part of Jennifer Lawrence's family farm in Kentucky, which also operates a summer camp, was destroyed by a fire over the weekend, according to a statement from the camp.

""It is with the heaviest of hearts that we confirm the news that we lost our barn last night in a horrible fire. We are deeply thankful that no people or animals were hurt, but we are still mourning the loss of years of hard work and memories that occurred in these walls,"" Camp Hi-Ho wrote in a statement posted to Facebook . ""Words cannot describe the pain we are in, but we are so incredibly grateful for the Simpsonville Fire Department and all the other fire fighters who responded to our emergency. You are true heroes.""

According to local WYKL News, 30 firefighters and six trucks were called to the scene on Friday evening.

The camp is owned and directed by Lawrence's brother, Blaine.

""We know Camp Hi-Ho is a special place to so many, and we plan to rebuild and repair so that we can move forward with a safe and joyful camp experience this summer,"" the statement concluded.",CNN,1
Disney honors Chadwick Boseman's birthday with tribute,[],"(CNN) Chadwick Boseman would have turned 44 on November 29 and Disney honored him in a way that was fit for a Marvel king.

On Saturday, Disney chairman Bob Iger tweeted to alert that something was coming.

To all fans of #BlackPanther: watch the film on #DisneyPlus late tonight, for a special tribute to someone that was and will always be near and dear to our hearts. — Robert Iger (@RobertIger) November 28, 2020

""To all fans of #BlackPanther: watch the film on #DisneyPlus late tonight, for a special tribute to someone that was and will always be near and dear to our hearts,"" the tweet read.

That turned out to be a new opening credit for the ""Black Panther"" film currently streaming on Disney+.

Read More",CNN,1
,,,CNN,
